Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Bagging-LR-NM-PCA,Logistic Regression with Bagging NearMiss PCA,{},0.7610619469026548,0.6326530612244898,0.3076923076923077,0.47058823529411764,0.6538461538461539
Bagging-DT-NM-PCA,Decision Tree with Bagging NearMiss PCA,{},0.9823008849557522,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
Bagging-RF-NM-PCA,Random Forest Classifier with Bagging NearMiss PCA,{},0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
Bagging-LR-NM,Logistic Regression with Bagging NearMiss,{},0.9380530973451328,0.8979591836734694,0.8461538461538461,0.8979591836734695,0.9013377926421405
Bagging-DT-NM,Decision Tree with Bagging NearMiss,{},1.0,1.0,1.0,1.0,1.0
Bagging-RF-NM,Random Forest Classifier with Bagging NearMiss,{},0.9823008849557522,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
BaggingLR-SM-PCA,Logistic Regression with Bagging Smote PCA,{},0.6342545206414193,0.6187317590872911,0.36576482830385015,0.4945480126626802,0.6238677958519793
Bagging-DT-SM-PCA,Decision Tree with Bagging Smote PCA,{},0.9782781758216763,0.9127089413637569,0.9427679500520292,0.9167720718441691,0.9120986474678121
Bagging-RF-SM-PCA,Random Forest Classifier with Bagging Smote PCA,{},0.9706584783350393,0.9068718492968957,0.9339229968782519,0.9109363105810708,0.9063226245896403
Bagging-LR-SM,Logistic Regression with Bagging Smote,{},0.8020015921755942,0.7994162907933139,0.7679500520291364,0.7961165048543689,0.8000551559550122
BaggingDT-SM,Decision Tree with Bagging Smote,{},1.0,1.0,1.0,1.0,1.0
Bagging-RF-SM,Random Forest Classifier with Bagging Smote,{},0.9998862731718412,0.9994693552666489,0.9989594172736732,0.9994794377928162,0.9994797086368366
