Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Individual-LR-NM,Logistic Regression Classifier with Imblearn NearMiss,{},0.9380530973451328,0.8979591836734694,0.8461538461538461,0.8979591836734695,0.9013377926421405
Individual-DT-NM,Decision Tree Classifier with Imblearn NearMiss,{},0.48672566371681414,0.5306122448979592,1.0,0.6933333333333334,0.5
Individual-RF-NM,Random Forest Classifier with Imblearn NearMiss,{},1.0,1.0,1.0,1.0,1.0
Individual-LR-SM,Logistic Regression Classifier with Imblearn SMOTE,{},0.6991925395200728,0.6802865481560095,0.4672216441207076,0.5984671776074642,0.6846124463159033
Individual-DT-SM,Decision Tree Classifier with Imblearn SMOTE,{},1.0,1.0,1.0,1.0,1.0
Individual-RF-SM,Random Forest Classifier with Imblearn SMOTE,{},1.0,1.0,1.0,1.0,1.0
Individual-LR-NM-PCA,Logistic Regression with PCA NearMiss,{},0.8761061946902655,0.9183673469387755,0.8461538461538461,0.9166666666666666,0.9230769230769231
Individual-DT-NM-PCA,Decision Tree Classifier with PCA NearMiss,{},0.9734513274336283,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
Individual-RF-NM-PCA,Random Forest Classifier with PCA NearMiss,{},0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
Individual-LR-SM-PCA,Logistic Regression with PCA (Smote),{},0.633913340156943,0.6187317590872911,0.36628511966701355,0.49490333919156426,0.6238572322753043
Individual-DT-SM-PCA,Decision Tree Classifier with PCA (Smote),{},0.9463209371090641,0.8750331652958344,0.9198751300728408,0.882455702520589,0.8741227301690678
Individual-RF-SM-PCA,Random Forest Classifier with PCA (Smote),{},0.9869214147617423,0.913239586097108,0.9417273673257024,0.9171522675449709,0.9126611931376754
Adaboost-LR-Smote-PCA,Logistic Regression with Adaboost Smote and PCA,{},0.6410781303309451,0.6240382064208013,0.3975026014568158,0.5188455008488965,0.6286376028399401
Adaboost-DT-Smote-PCA,Decision Tree Classifier with Adaboost Smote and PCA,{},1.0,0.9246484478641549,0.9479708636836629,0.9276985743380854,0.9241749283226112
Adaboost-RF-Smote-PCA,Random Forest Classifier with Adaboost Smote and PCA,{},0.9987490048902536,0.9177500663305916,0.9438085327783559,0.9212798374809548,0.9172209962213381
Adaboost-LR.NM,Logistic Regression with Adaboost NearMiss,{},0.8761061946902655,0.8979591836734694,0.8846153846153846,0.9019607843137256,0.8988294314381271
Adaboost-DT-NM,Decision Tree Classifier with Adaboost NearMiss,{},1.0,1.0,1.0,1.0,1.0
Adaboost-RF-NM,Random Forest Classifier with Adaboost NearMiss,{},1.0,1.0,1.0,1.0,1.0
Adaboost-RF-NM-PCA,Random Forest Classifier with Adaboost NearMiss PCA,{},0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
Adaboost-LR-NM-PCA,Logistic Regression with Adaboost NearMiss PCA,{},0.8849557522123894,0.9183673469387755,0.8461538461538461,0.9166666666666666,0.9230769230769231
Adaboost-DT-NM-PCA,Decision Tree Classifier with Adaboost NearMiss PCA,{},1.0,0.9387755102040817,0.9230769230769231,0.9411764705882353,0.939799331103679
Adaboost-LR-SM,Logistic Regression with Adaboost with Smote,{},0.798248606846355,0.7954364552931812,0.7877211238293444,0.7970518557515136,0.7955931011675148
Adaboost-DT-SM,Decision Tree Classifier with Adaboost with Smote,{},1.0,1.0,1.0,1.0,1.0
Adaboost-RF-SM,Random Forest Classifier with Adaboost with Smote,{},1.0,1.0,1.0,1.0,1.0
Pasting-LR-NM-PCA,Logistic Regression with Pasting NM PCA,{},0.8141592920353983,0.7346938775510204,0.5,0.6666666666666666,0.75
Pasting-DT-NM-PCA,Decision Tree Classifier with Pasting NM PCA,{},0.9734513274336283,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
Pasting-RF-NM-PCA,Random Forest with Pasting NM PCA,{},0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
Pasting-LR-Smote-PCA,Logistic Regression with Pasting Smote PCA,{},0.6341407938132605,0.6187317590872911,0.36628511966701355,0.49490333919156426,0.6238572322753043
Pasting-DT-Smote-PCA,Decision Tree Classifier with Pasting Smote PCA,{},0.962128966223132,0.8906871849296896,0.9136316337148803,0.8950050968399592,0.8902213393263085
Pasting-RF-Smote-PCA,Random Forest with Pasting Smote PCA,{},0.9623564198794495,0.8896258954629875,0.9136316337148803,0.8940936863543789,0.8891385022932821
Pasting-LR-Smote,Logistic Regression with Pasting Smote,{},0.7698168998066643,0.7675776067922526,0.6966701352757544,0.7535171637591446,0.7690172549686838
Pasting-DT-Smote,Decision Tree Classifier with Pasting Smote,{},1.0,1.0,1.0,1.0,1.0
Pasting-RF-Smote,Random Forest with Pasting Smote,{},1.0,1.0,1.0,1.0,1.0
Pasting-LR-NM,Logistic Regression with Pasting NM,{},0.8495575221238938,0.7755102040816326,0.6153846153846154,0.744186046511628,0.7859531772575251
Pasting-DT-NM,Decision Tree Classifier with Pasting NM,{},1.0,1.0,1.0,1.0,1.0
Pasting-RF-NM,Random Forest with Pasting NM,{},1.0,1.0,1.0,1.0,1.0
Bagging-LR-NM-PCA,Logistic Regression with Bagging NearMiss PCA,{},0.7610619469026548,0.6326530612244898,0.3076923076923077,0.47058823529411764,0.6538461538461539
Bagging-DT-NM-PCA,Decision Tree with Bagging NearMiss PCA,{},0.9823008849557522,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
Bagging-RF-NM-PCA,Random Forest Classifier with Bagging NearMiss PCA,{},0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
