Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Pasting-LR-NM-PCA,Logistic Regression with Pasting NM PCA,{},0.8141592920353983,0.7346938775510204,0.5,0.6666666666666666,0.75
Pasting-DT-NM-PCA,Decision Tree Classifier with Pasting NM PCA,{},0.9734513274336283,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
Pasting-RF-NM-PCA,Random Forest with Pasting NM PCA,{},0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
Pasting-LR-Smote-PCA,Logistic Regression with Pasting Smote PCA,{},0.6341407938132605,0.6187317590872911,0.36628511966701355,0.49490333919156426,0.6238572322753043
Pasting-DT-Smote-PCA,Decision Tree Classifier with Pasting Smote PCA,{},0.962128966223132,0.8906871849296896,0.9136316337148803,0.8950050968399592,0.8902213393263085
Pasting-RF-Smote-PCA,Random Forest with Pasting Smote PCA,{},0.9623564198794495,0.8896258954629875,0.9136316337148803,0.8940936863543789,0.8891385022932821
Pasting-LR-Smote,Logistic Regression with Pasting Smote,{},0.7698168998066643,0.7675776067922526,0.6966701352757544,0.7535171637591446,0.7690172549686838
Pasting-DT-Smote,Decision Tree Classifier with Pasting Smote,{},1.0,1.0,1.0,1.0,1.0
Pasting-RF-Smote,Random Forest with Pasting Smote,{},1.0,1.0,1.0,1.0,1.0
Pasting-LR-NM,Logistic Regression with Pasting NM,{},0.8495575221238938,0.7755102040816326,0.6153846153846154,0.744186046511628,0.7859531772575251
Pasting-DT-NM,Decision Tree Classifier with Pasting NM,{},1.0,1.0,1.0,1.0,1.0
Pasting-RF-NM,Random Forest with Pasting NM,{},1.0,1.0,1.0,1.0,1.0
