,gvkey,sich,insbnk,understatement,option,p_aaer,new_p_aaer,misstate,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f
0,1004,5080.0,0,0,0,2620.5,26206.0,0,436.656,49.529,710.199,310.235,34.522,526.477,31.87,42.525,115.504,217.699,22.496,-58.93899999999999,286.588,54.04,0.0,150.464,399.964,-58.93899999999999,198.225,0.0,139.60299999999998,77.528,638.721,34.334,3.847,-39.29,19.798,11.44
1,1013,3661.0,0,0,0,2620.5,26206.0,0,1305.2,162.0,2499.7,1893.4,421.8,1484.2,792.0,1.7,0.0,3.0,197.8,-1287.7,253.6,49.7,73.2,599.4,606.3,-1287.7,1011.3,0.0,495.6,280.7,2402.8,40.4,0.0,-633.0,8.8,4.55
2,1019,7380.0,0,0,0,2620.5,26206.0,0,11.86,2.787,30.836,12.026,1.763,26.577,0.157,2.547,2.0,0.5820000000000001,2.032,1.29,0.6,0.0,0.0,8.457,18.81,1.29,51.984,0.0,11.546,9.359,45.05,0.0,0.398,1.217,0.16899999999999998,253.0
3,1021,3861.0,0,0,0,2620.5,26206.0,0,6.494,0.983,8.635,2.717,0.198,15.7,9.271,0.142,0.0,3.873,0.7609999999999999,-1.7380000000000002,3.488,0.0,0.0,2.045,5.917999999999998,-1.7380000000000002,3.359,0.0,-8.922,2.677,24.051,0.0,0.0,0.013,0.439,0.32
4,1034,2834.0,0,0,0,2620.5,26206.0,0,662.5210000000002,171.275,2390.008,891.6160000000001,14.894,505.4980000000001,44.31800000000001,30.338,984.117,1030.254,77.611,-35.674,331.773,11.336,0.0,343.155,1498.392,-37.914,700.0189999999999,0.0,-15.463,259.246,974.99,5.545,15.429,0.613,45.32100000000001,26.45
5,1038,7830.0,0,0,0,2620.5,26206.0,0,292.043,79.242,1279.17,258.181,219.432,1143.091,33.819,34.378,173.144,650.969,99.742,-11.468,0.0,11.193,0.0,249.816,1020.814,-11.468,1318.836,0.175,-184.482,32.678000000000004,1341.506,330.82199999999995,0.0,0.6,60.76,13.64
6,1045,4512.0,0,0,0,2620.5,26206.0,0,6540.0,1785.0,32841.0,5373.0,2992.0,19419.0,154.485,772.0,5096.0,9834.0,1404.0,-1762.0,822.0,0.0,2872.0,7512.0,27468.0,-1762.0,29659.0,0.0,4042.0,1414.0,18963.0,37.0,0.0,-994.0,538.0,22.3
7,1056,3674.0,0,0,0,2620.5,26206.0,0,189.471,16.794,310.252,255.121,81.908,125.059,59.67,1.905,0.635,11.428,11.6,21.222,48.423,0.0,12.012,37.097,55.131,21.354,106.624,0.0,29.89,49.409,232.808,3.8,0.0,11.45,1.3969999999999998,10.5
8,1072,3670.0,0,0,0,2620.5,26206.0,0,1150.868,97.648,1691.599,1476.035,601.91,981.254,174.679,15.333,0.7390000000000001,0.0,132.908,-7.232,354.61800000000005,79.627,0.0,194.677,215.564,-7.232,1201.96,0.0,1155.698,129.213,1249.98,5.022,13.965,0.226,1.851,20.94
9,1075,4911.0,0,0,0,2620.5,26206.0,0,727.405,269.124,7981.748,2499.323,28.619,3448.843,84.825,531.9019999999998,995.447,2673.078,427.903,327.367,108.238,619.024,0.0,1090.929,5482.425,312.166,9342.24,0.0,968.285,443.372,4551.373,0.0,96.729,213.535,175.822,41.85
