Model Name,Model Name,Model Parameter,Training Score,Testing Score,Exhaustividad,F1,AUC
Individual-LR-NM,Logistic Regression Classifier with Imblearn NearMiss,{},0.9380530973451328,0.8979591836734694,0.8461538461538461,0.8979591836734695,0.9013377926421405
Individual-DT-NM,Decision Tree Classifier with Imblearn NearMiss,{},0.48672566371681414,0.5306122448979592,1.0,0.6933333333333334,0.5
Individual-RF-NM,Random Forest Classifier with Imblearn NearMiss,{},1.0,1.0,1.0,1.0,1.0
Individual-LR-SM,Logistic Regression Classifier with Imblearn SMOTE,{},0.6991925395200728,0.6802865481560095,0.4672216441207076,0.5984671776074642,0.6846124463159033
Individual-DT-SM,Decision Tree Classifier with Imblearn SMOTE,{},1.0,1.0,1.0,1.0,1.0
Individual-RF-SM,Random Forest Classifier with Imblearn SMOTE,{},1.0,1.0,1.0,1.0,1.0
Individual-LR-NM-PCA,Logistic Regression with PCA NearMiss,{},0.8761061946902655,0.9183673469387755,0.8461538461538461,0.9166666666666666,0.9230769230769231
Individual-DT-NM-PCA,Decision Tree Classifier with PCA NearMiss,{},0.9734513274336283,0.9591836734693877,0.9230769230769231,0.9600000000000001,0.9615384615384616
Individual-RF-NM-PCA,Random Forest Classifier with PCA NearMiss,{},0.9734513274336283,0.9795918367346939,0.9615384615384616,0.9803921568627451,0.9807692307692308
Individual-LR-SM-PCA,Logistic Regression with PCA (Smote),{},0.633913340156943,0.6187317590872911,0.36628511966701355,0.49490333919156426,0.6238572322753043
Individual-DT-SM-PCA,Decision Tree Classifier with PCA (Smote),{},0.9463209371090641,0.8750331652958344,0.9198751300728408,0.882455702520589,0.8741227301690678
Individual-RF-SM-PCA,Random Forest Classifier with PCA (Smote),{},0.9869214147617423,0.913239586097108,0.9417273673257024,0.9171522675449709,0.9126611931376754
